sample_id,split,label,source_dataset,blur_score_px,occlusion_ratio,illumination_entropy_bits,quality_flag
train/fall/people(1445).jpg,train,fall,leeds_millennium,4.26,0.019,7.845,False
train/fall/people(1451).jpg,train,fall,leeds_millennium,3.97,0.000,7.657,False
train/fall/people(1453).jpg,train,fall,leeds_millennium,6.29,0.001,7.461,False
train/fall/people(1456).jpg,train,fall,leeds_millennium,4.52,0.000,7.168,False
train/fall/people(1462).jpg,train,fall,leeds_millennium,6.72,0.000,7.208,False
train/fall/people(1468).jpg,train,fall,leeds_millennium,2.23,0.004,7.794,False
train/fall/people(1471).jpg,train,fall,leeds_millennium,3.57,0.002,7.482,False
train/fall/people(149).jpg,train,fall,leeds_millennium,4.93,0.013,7.789,False
train/fall/people(150).jpg,train,fall,leeds_millennium,5.04,0.000,7.545,False
train/fall/people(1500).jpg,train,fall,leeds_millennium,6.36,0.000,7.552,False
train/fall/people(1503).jpg,train,fall,leeds_millennium,4.14,0.003,7.781,False
train/fall/people(1504).jpg,train,fall,leeds_millennium,8.01,0.001,7.723,False
train/fall/people(1505).jpg,train,fall,leeds_millennium,5.27,0.000,7.553,False
train/fall/people(1516).jpg,train,fall,leeds_millennium,6.35,0.000,7.763,False
train/fall/people(1526).jpg,train,fall,leeds_millennium,5.65,0.015,7.830,False
train/fall/people(1528).jpg,train,fall,leeds_millennium,5.59,0.005,7.768,False
train/fall/people(1534).jpg,train,fall,leeds_millennium,6.40,0.189,7.035,False
train/fall/people(154).jpg,train,fall,leeds_millennium,5.64,0.386,5.807,False
train/fall/people(1546).jpg,train,fall,leeds_millennium,2.62,0.036,7.728,False
train/fall/people(1550).jpg,train,fall,leeds_millennium,5.86,0.004,7.127,False
train/fall/people(1553).jpg,train,fall,leeds_millennium,5.63,0.338,6.101,False
train/fall/people(1558).jpg,train,fall,leeds_millennium,3.01,0.004,7.879,False
train/fall/people(1560).jpg,train,fall,leeds_millennium,5.92,0.000,7.377,False
train/fall/people(1564).jpg,train,fall,leeds_millennium,2.77,0.062,7.286,False
train/fall/people(1572).jpg,train,fall,leeds_millennium,6.22,0.032,7.426,False
train/fall/people(1573).jpg,train,fall,leeds_millennium,6.44,0.001,7.631,False
train/fall/people(1576).jpg,train,fall,leeds_millennium,9.50,0.008,6.922,False
train/fall/people(1583).jpg,train,fall,leeds_millennium,4.49,0.000,7.591,False
train/fall/people(1587).jpg,train,fall,leeds_millennium,5.47,0.001,7.812,False
train/fall/people(1590).jpg,train,fall,leeds_millennium,5.56,0.067,7.814,False
train/fall/people(1592).jpg,train,fall,leeds_millennium,6.18,0.000,7.604,False
train/fall/people(1598).jpg,train,fall,leeds_millennium,8.02,0.000,6.813,False
train/fall/people(1602).jpg,train,fall,leeds_millennium,3.99,0.049,7.734,False
train/fall/people(1603).jpg,train,fall,leeds_millennium,8.34,0.020,7.113,False
train/fall/people(1607).jpg,train,fall,leeds_millennium,4.42,0.001,7.670,False
train/fall/people(161).jpg,train,fall,leeds_millennium,4.61,0.053,7.700,False
train/fall/people(1617).jpg,train,fall,leeds_millennium,4.42,0.029,7.462,False
train/fall/people(1626).jpg,train,fall,leeds_millennium,9.73,0.000,7.502,False
train/fall/people(1629).jpg,train,fall,leeds_millennium,4.13,0.102,7.623,False
train/fall/people(1631).jpg,train,fall,leeds_millennium,3.09,0.000,7.819,False
train/fall/people(1635).jpg,train,fall,leeds_millennium,3.27,0.086,7.768,False
train/fall/people(1638).jpg,train,fall,leeds_millennium,3.02,0.060,7.518,False
train/fall/people(1639).jpg,train,fall,leeds_millennium,3.71,0.000,7.582,False
train/fall/people(1640).jpg,train,fall,leeds_millennium,4.27,0.000,7.620,False
train/fall/people(1655).jpg,train,fall,leeds_millennium,2.99,0.069,7.629,False
train/fall/people(1658).jpg,train,fall,leeds_millennium,4.34,0.000,7.469,False
train/fall/people(1659).jpg,train,fall,leeds_millennium,2.40,0.005,7.646,False
train/fall/people(1660).jpg,train,fall,leeds_millennium,4.45,0.001,7.832,False
train/fall/people(1667).jpg,train,fall,leeds_millennium,4.23,0.000,7.530,False
train/fall/people(1670).jpg,train,fall,leeds_millennium,4.02,0.045,7.956,False
train/fall/people(1671).jpg,train,fall,leeds_millennium,6.68,0.000,7.314,False
train/fall/people(1672).jpg,train,fall,leeds_millennium,2.66,0.003,7.372,False
train/fall/people(1673).jpg,train,fall,leeds_millennium,7.48,0.002,7.615,False
train/fall/people(1677).jpg,train,fall,leeds_millennium,3.41,0.008,7.740,False
train/fall/people(1679).jpg,train,fall,leeds_millennium,3.24,0.020,7.608,False
train/fall/people(1680).jpg,train,fall,leeds_millennium,6.06,0.008,7.653,False
train/fall/people(1682).jpg,train,fall,leeds_millennium,2.49,0.045,7.792,False
train/fall/people(1692).jpg,train,fall,leeds_millennium,4.51,0.000,7.703,False
train/fall/people(1698).jpg,train,fall,leeds_millennium,3.78,0.022,7.824,False
train/fall/people(1699).jpg,train,fall,leeds_millennium,6.51,0.000,7.663,False
train/fall/people(1705).jpg,train,fall,leeds_millennium,3.75,0.000,7.688,False
train/fall/people(1712).jpg,train,fall,leeds_millennium,3.36,0.001,7.606,False
train/fall/people(1715).jpg,train,fall,leeds_millennium,6.82,0.000,7.501,False
train/fall/people(1717).jpg,train,fall,leeds_millennium,3.54,0.000,7.496,False
train/fall/people(1718).jpg,train,fall,leeds_millennium,3.34,0.024,7.519,False
train/fall/people(1731).jpg,train,fall,leeds_millennium,5.92,0.000,7.424,False
train/fall/people(1732).jpg,train,fall,leeds_millennium,4.72,0.072,7.196,False
train/fall/people(1734).jpg,train,fall,leeds_millennium,2.93,0.001,7.618,False
train/fall/people(1737).jpg,train,fall,leeds_millennium,5.21,0.012,7.819,False
train/fall/people(1738).jpg,train,fall,leeds_millennium,4.90,0.001,7.716,False
train/fall/people(1744).jpg,train,fall,leeds_millennium,5.05,0.001,6.776,False
train/fall/people(1763).jpg,train,fall,leeds_millennium,4.23,0.000,7.243,False
train/fall/people(1769).jpg,train,fall,leeds_millennium,9.05,0.000,6.320,False
train/fall/people(177).jpg,train,fall,leeds_millennium,4.60,0.000,7.328,False
train/fall/people(178).jpg,train,fall,leeds_millennium,6.53,0.124,7.619,False
train/fall/people(18).jpg,train,fall,leeds_millennium,7.92,0.000,7.812,False
train/fall/people(1805).jpg,train,fall,leeds_millennium,6.18,0.026,7.454,False
train/fall/people(1807).jpg,train,fall,leeds_millennium,4.46,0.000,7.676,False
train/fall/people(1815).jpg,train,fall,leeds_millennium,5.56,0.008,7.682,False
train/fall/people(1818).jpg,train,fall,leeds_millennium,5.41,0.000,7.617,False
train/fall/people(1820).jpg,train,fall,leeds_millennium,4.01,0.007,7.659,False
train/fall/people(1821).jpg,train,fall,leeds_millennium,3.91,0.034,7.671,False
train/fall/people(1822).jpg,train,fall,leeds_millennium,4.97,0.014,7.576,False
train/fall/people(1828).jpg,train,fall,leeds_millennium,6.62,0.000,7.672,False
train/fall/people(1829).jpg,train,fall,leeds_millennium,6.46,0.006,7.365,False
train/fall/people(1830).jpg,train,fall,leeds_millennium,8.34,0.000,7.443,False
train/fall/people(1844).jpg,train,fall,leeds_millennium,2.41,0.117,7.724,False
train/fall/people(1853).jpg,train,fall,leeds_millennium,7.83,0.006,7.628,False
train/fall/people(1862).jpg,train,fall,leeds_millennium,4.97,0.001,7.396,False
train/fall/people(1864).jpg,train,fall,leeds_millennium,3.56,0.005,7.503,False
train/fall/people(1865).jpg,train,fall,leeds_millennium,4.94,0.000,7.504,False
train/fall/people(1866).jpg,train,fall,leeds_millennium,8.15,0.000,7.653,False
train/fall/people(1868).jpg,train,fall,leeds_millennium,7.16,0.048,7.453,False
train/fall/people(1869).jpg,train,fall,leeds_millennium,9.87,0.151,7.546,False
train/fall/people(1872).jpg,train,fall,leeds_millennium,5.81,0.001,7.528,False
train/fall/people(1873).jpg,train,fall,leeds_millennium,4.25,0.000,7.231,False
train/fall/people(1877).jpg,train,fall,leeds_millennium,5.93,0.057,7.170,False
train/fall/people(188).jpg,train,fall,leeds_millennium,7.87,0.000,7.637,False
train/fall/people(1881).jpg,train,fall,leeds_millennium,8.00,0.121,7.119,False
train/fall/people(1886).jpg,train,fall,leeds_millennium,8.06,0.000,7.749,False
train/fall/people(1888).jpg,train,fall,leeds_millennium,4.03,0.029,7.859,False
train/fall/people(1889).jpg,train,fall,leeds_millennium,8.03,0.000,7.641,False
train/fall/people(1892).jpg,train,fall,leeds_millennium,6.07,0.046,7.281,False
train/fall/people(1898).jpg,train,fall,leeds_millennium,6.58,0.060,7.647,False
train/fall/people(190).jpg,train,fall,leeds_millennium,4.52,0.009,7.645,False
train/fall/people(1900).jpg,train,fall,leeds_millennium,4.94,0.070,7.799,False
train/fall/people(1908).jpg,train,fall,leeds_millennium,7.46,0.250,6.466,False
train/fall/people(1913).jpg,train,fall,leeds_millennium,4.40,0.000,7.709,False
train/fall/people(1917).jpg,train,fall,leeds_millennium,7.52,0.000,7.774,False
train/fall/people(193).jpg,train,fall,leeds_millennium,5.48,0.001,7.537,False
train/fall/people(1930).jpg,train,fall,leeds_millennium,4.65,0.027,7.818,False
train/fall/people(1935).jpg,train,fall,leeds_millennium,6.16,0.000,7.172,False
train/fall/people(1948).jpg,train,fall,leeds_millennium,5.57,0.055,7.774,False
train/fall/people(1958).jpg,train,fall,leeds_millennium,5.92,0.000,7.023,False
train/fall/people(1967).jpg,train,fall,leeds_millennium,5.60,0.000,7.568,False
train/fall/people(1978).jpg,train,fall,leeds_millennium,7.85,0.000,7.261,False
train/fall/people(1986).jpg,train,fall,leeds_millennium,6.53,0.000,7.799,False
train/fall/people(1987).jpg,train,fall,leeds_millennium,5.97,0.000,7.699,False
train/fall/people(1988).jpg,train,fall,leeds_millennium,5.86,0.025,7.755,False
train/fall/people(199).jpg,train,fall,leeds_millennium,5.02,0.000,7.750,False
train/fall/people(2017).jpg,train,fall,leeds_millennium,4.47,0.155,7.475,False
train/fall/people(2022).jpg,train,fall,leeds_millennium,5.32,0.083,7.142,False
train/fall/people(2030).jpg,train,fall,leeds_millennium,3.38,0.023,7.808,False
train/fall/people(2032).jpg,train,fall,leeds_millennium,5.78,0.000,6.954,False
train/fall/people(2034).jpg,train,fall,leeds_millennium,5.60,0.003,7.505,False
train/fall/people(2036).jpg,train,fall,leeds_millennium,6.91,0.006,7.712,False
train/fall/people(2040).jpg,train,fall,leeds_millennium,7.28,0.000,6.649,False
train/fall/people(2053).jpg,train,fall,leeds_millennium,7.35,0.001,7.535,False
train/fall/people(2058).jpg,train,fall,leeds_millennium,5.60,0.000,7.427,False
train/fall/people(2064).jpg,train,fall,leeds_millennium,4.32,0.001,7.762,False
train/fall/people(2072).jpg,train,fall,leeds_millennium,4.29,0.033,7.487,False
train/fall/people(2084).jpg,train,fall,leeds_millennium,5.03,0.000,7.611,False
train/fall/people(2094).jpg,train,fall,leeds_millennium,3.33,0.013,7.802,False
train/fall/people(210).jpg,train,fall,leeds_millennium,7.52,0.077,7.613,False
train/fall/people(2102).jpg,train,fall,leeds_millennium,4.21,0.000,6.668,False
train/fall/people(2108).jpg,train,fall,leeds_millennium,8.33,0.000,7.664,False
train/fall/people(2109).jpg,train,fall,leeds_millennium,6.05,0.020,7.636,False
train/fall/people(2116).jpg,train,fall,leeds_millennium,9.65,0.000,7.473,False
train/fall/people(2120).jpg,train,fall,leeds_millennium,3.92,0.035,7.768,False
train/fall/people(2121).jpg,train,fall,leeds_millennium,7.93,0.287,6.488,False
train/fall/people(2129).jpg,train,fall,leeds_millennium,3.28,0.501,5.373,True
train/fall/people(2154).jpg,train,fall,leeds_millennium,4.36,0.020,7.586,False
train/fall/people(2156).jpg,train,fall,leeds_millennium,6.91,0.002,7.676,False
train/fall/people(2170).jpg,train,fall,leeds_millennium,4.68,0.080,7.240,False
train/fall/people(2172).jpg,train,fall,leeds_millennium,6.12,0.001,7.610,False
train/fall/people(2178).jpg,train,fall,leeds_millennium,5.37,0.006,7.639,False
train/fall/people(218).jpg,train,fall,leeds_millennium,6.67,0.068,7.747,False
train/fall/people(2184).jpg,train,fall,leeds_millennium,4.96,0.007,7.736,False
train/fall/people(2185).jpg,train,fall,leeds_millennium,6.20,0.000,6.842,False
train/fall/people(2189).jpg,train,fall,leeds_millennium,3.84,0.041,7.460,False
train/fall/people(2211).jpg,train,fall,leeds_millennium,7.83,0.093,7.440,False
train/fall/people(2213).jpg,train,fall,leeds_millennium,4.56,0.004,7.507,False
train/fall/people(2218).jpg,train,fall,leeds_millennium,6.82,0.013,7.156,False
train/fall/people(2225).jpg,train,fall,leeds_millennium,5.35,0.034,7.340,False
train/fall/people(2234).jpg,train,fall,leeds_millennium,5.33,0.051,7.706,False
train/fall/people(2235).jpg,train,fall,leeds_millennium,3.79,0.006,7.459,False
train/fall/people(2237).jpg,train,fall,leeds_millennium,6.75,0.000,7.723,False
train/fall/people(2238).jpg,train,fall,leeds_millennium,8.22,0.000,7.654,False
train/fall/people(2242).jpg,train,fall,leeds_millennium,5.67,0.003,7.445,False
train/fall/people(2246).jpg,train,fall,leeds_millennium,5.32,0.000,7.586,False
train/fall/people(2251).jpg,train,fall,leeds_millennium,4.06,0.004,7.505,False
train/fall/people(2256).jpg,train,fall,leeds_millennium,4.49,0.009,7.719,False
train/fall/people(2259).jpg,train,fall,leeds_millennium,2.85,0.024,7.626,False
train/fall/people(2260).jpg,train,fall,leeds_millennium,4.12,0.056,7.673,False
train/fall/people(2262).jpg,train,fall,leeds_millennium,3.33,0.001,7.444,False
train/fall/people(2265).jpg,train,fall,leeds_millennium,12.07,0.023,6.893,False
train/fall/people(2269).jpg,train,fall,leeds_millennium,3.98,0.000,7.238,False
train/fall/people(2275).jpg,train,fall,leeds_millennium,4.53,0.001,7.427,False
train/fall/people(228).jpg,train,fall,leeds_millennium,3.15,0.000,7.652,False
train/fall/people(2282).jpg,train,fall,leeds_millennium,9.60,0.046,7.538,False
train/fall/people(2284).jpg,train,fall,leeds_millennium,3.47,0.033,7.804,False
train/fall/people(229).jpg,train,fall,leeds_millennium,7.79,0.000,7.719,False
train/fall/people(2294).jpg,train,fall,leeds_millennium,8.92,0.000,7.129,False
train/fall/people(2328).jpg,train,fall,leeds_millennium,4.75,0.020,7.589,False
train/fall/people(234).jpg,train,fall,leeds_millennium,5.08,0.026,7.587,False
train/fall/people(2352).jpg,train,fall,leeds_millennium,6.73,0.000,7.193,False
train/fall/people(2354).jpg,train,fall,leeds_millennium,9.51,0.008,7.779,False
train/fall/people(2358).jpg,train,fall,leeds_millennium,9.37,0.000,7.326,False
train/fall/people(2366).jpg,train,fall,leeds_millennium,4.94,0.013,7.619,False
train/fall/people(2369).jpg,train,fall,leeds_millennium,6.23,0.000,7.647,False
train/fall/people(2372).jpg,train,fall,leeds_millennium,11.87,0.575,4.846,True
train/fall/people(2380).jpg,train,fall,leeds_millennium,4.38,0.000,7.457,False
train/fall/people(2383).jpg,train,fall,leeds_millennium,13.31,0.006,6.929,False
train/fall/people(2386).jpg,train,fall,leeds_millennium,5.28,0.001,7.695,False
train/fall/people(2440).jpg,train,fall,leeds_millennium,6.11,0.005,6.525,False
train/fall/people(2467).jpg,train,fall,leeds_millennium,4.62,0.000,7.463,False
train/fall/people(2471).jpg,train,fall,leeds_millennium,3.35,0.000,7.674,False
train/fall/people(2478).jpg,train,fall,leeds_millennium,5.01,0.000,7.518,False
train/fall/people(2491).jpg,train,fall,leeds_millennium,6.78,0.029,7.880,False
train/fall/people(250).jpg,train,fall,leeds_millennium,4.45,0.000,7.696,False
train/fall/people(2504).jpg,train,fall,leeds_millennium,3.18,0.002,7.824,False
train/fall/people(2505).jpg,train,fall,leeds_millennium,6.07,0.000,7.530,False
train/fall/people(2514).jpg,train,fall,leeds_millennium,11.14,0.000,7.618,False
train/fall/people(2515).jpg,train,fall,leeds_millennium,6.43,0.000,7.425,False
train/fall/people(2520).jpg,train,fall,leeds_millennium,3.62,0.005,7.829,False
train/fall/people(2521).jpg,train,fall,leeds_millennium,5.25,0.001,7.483,False
train/fall/people(2523).jpg,train,fall,leeds_millennium,6.08,0.000,7.451,False
train/fall/people(253).jpg,train,fall,leeds_millennium,4.96,0.000,7.672,False
train/fall/people(2530).jpg,train,fall,leeds_millennium,3.28,0.096,7.655,False
train/fall/people(2537).jpg,train,fall,leeds_millennium,3.49,0.002,7.714,False
train/fall/people(2539).jpg,train,fall,leeds_millennium,3.07,0.006,7.711,False
train/fall/people(2546).jpg,train,fall,leeds_millennium,6.51,0.008,7.400,False
train/fall/people(2548).jpg,train,fall,leeds_millennium,10.39,0.000,7.686,False
train/fall/people(2549).jpg,train,fall,leeds_millennium,3.50,0.000,7.819,False
train/fall/people(2551).jpg,train,fall,leeds_millennium,10.82,0.000,7.450,False
train/fall/people(2553).jpg,train,fall,leeds_millennium,5.02,0.123,7.687,False
train/fall/people(2559).jpg,train,fall,leeds_millennium,4.36,0.059,7.918,False
train/fall/people(256).jpg,train,fall,leeds_millennium,6.18,0.000,7.602,False
train/fall/people(2561).jpg,train,fall,leeds_millennium,4.63,0.004,7.684,False
train/fall/people(2573).jpg,train,fall,leeds_millennium,5.15,0.066,7.434,False
train/fall/people(2579).jpg,train,fall,leeds_millennium,4.43,0.000,7.750,False
train/fall/people(258).jpg,train,fall,leeds_millennium,6.73,0.075,7.872,False
train/fall/people(2584).jpg,train,fall,leeds_millennium,3.81,0.128,6.575,False
train/fall/people(2587).jpg,train,fall,leeds_millennium,5.25,0.000,7.385,False
train/fall/people(2589).jpg,train,fall,leeds_millennium,5.60,0.000,7.114,False
train/fall/people(2591).jpg,train,fall,leeds_millennium,7.68,0.001,7.423,False
train/fall/people(2592).jpg,train,fall,leeds_millennium,6.62,0.000,7.674,False
train/fall/people(2613).jpg,train,fall,leeds_millennium,3.79,0.014,7.728,False
train/fall/people(2616).jpg,train,fall,leeds_millennium,13.79,0.028,6.735,False
train/fall/people(2617).jpg,train,fall,leeds_millennium,2.71,0.023,7.525,False
train/fall/people(2622).jpg,train,fall,leeds_millennium,3.81,0.031,7.265,False
train/fall/people(2623).jpg,train,fall,leeds_millennium,7.65,0.000,7.023,False
train/fall/people(2629).jpg,train,fall,leeds_millennium,3.47,0.000,7.658,False
train/fall/people(2635).jpg,train,fall,leeds_millennium,3.40,0.028,7.615,False
train/fall/people(2636).jpg,train,fall,leeds_millennium,4.22,0.342,6.682,False
train/fall/people(2651).jpg,train,fall,leeds_millennium,5.65,0.000,7.714,False
train/fall/people(2660).jpg,train,fall,leeds_millennium,3.40,0.000,7.556,False
train/fall/people(2666).jpg,train,fall,leeds_millennium,3.68,0.000,7.540,False
train/fall/people(2672).jpg,train,fall,leeds_millennium,2.84,0.015,7.827,False
train/fall/people(2682).jpg,train,fall,leeds_millennium,3.63,0.000,7.594,False
train/fall/people(2687).jpg,train,fall,leeds_millennium,3.88,0.166,7.298,False
train/fall/people(2689).jpg,train,fall,leeds_millennium,5.95,0.000,7.383,False
train/fall/people(2694).jpg,train,fall,leeds_millennium,5.72,0.021,7.633,False
train/fall/people(2710).jpg,train,fall,leeds_millennium,4.07,0.018,7.810,False
